Date	Price	Open	High	Low	Vol.	Change %	Abs value	 Volatility in $ 	Daily Volatility in %							
"Mar 02, 2021"	"3,893.38"	"3,903.50"	"3,905.62"	"3,866.38"	-	-0.14%	0%	 ? 39.24 	1.01%							
"Mar 01, 2021"	"3,898.75"	"3,817.25"	"3,912.00"	"3,812.50"	-	2.35%	2%	 ? 99.50 	2.61%							
"Feb 26, 2021"	"3,809.25"	"3,823.25"	"3,858.50"	"3,785.00"	3.01M	-0.49%	0%	 ? 73.50 	1.92%							
"Feb 25, 2021"	"3,828.00"	"3,923.50"	"3,934.50"	"3,810.25"	2.86M	-2.41%	2%	 ? 124.25 	3.17%			Highest Price Ever	" ? 3,959.25 "			
"Feb 24, 2021"	"3,922.50"	"3,876.25"	"3,927.75"	"3,851.75"	1.94M	1.15%	1%	 ? 76.00 	1.96%			Lowest Price Ever	" ? 2,174.00 "			
"Feb 23, 2021"	"3,878.00"	"3,878.00"	"3,896.00"	"3,804.75"	2.28M	0.12%	0%	 ? 91.25 	2.35%			Standard Deviation	382.67			
"Feb 22, 2021"	"3,873.50"	"3,905.50"	"3,914.50"	"3,861.25"	1.51M	-0.76%	1%	 ? 53.25 	1.36%			Higest price Movement	10%			Higest price
"Feb 19, 2021"	"3,903.00"	"3,910.50"	"3,931.00"	"3,890.25"	1.43M	-0.17%	0%	 ? 40.75 	1.04%			Lowest Price Movement	0%			Lowest Price
"Feb 18, 2021"	"3,909.50"	"3,928.25"	"3,936.00"	"3,880.50"	1.54M	-0.47%	0%	 ? 55.50 	1.41%							S.D
"Feb 17, 2021"	"3,928.00"	"3,929.00"	"3,932.25"	"3,896.50"	1.38M	0.01%	0%	 ? 35.75 	0.91%			Average Daily volatility	2%			Higest price Movement
"Feb 16, 2021"	"3,927.75"	"3,936.50"	"3,959.25"	"3,918.75"	1.45M	-0.50%	1%	 ? 40.50 	1.03%							Lowest Price Movement
"Feb 15, 2021"	"3,947.38"	"3,936.38"	"3,951.88"	"3,935.88"	-	0.28%	0%	 ? 16.00 	0.41%							Dialy and Average Dialy 
"Feb 14, 2021"	"3,936.38"	"3,935.50"	"3,939.88"	"3,935.50"	-	0.14%	0%	 ? 4.38 	0.11%							
"Feb 12, 2021"	"3,931.00"	"3,905.25"	"3,936.25"	"3,890.25"	1.05M	0.49%	0%	 ? 46.00 	1.18%							
"Feb 11, 2021"	"3,912.00"	"3,907.00"	"3,920.50"	"3,884.50"	1.30M	0.23%	0%	 ? 36.00 	0.92%							
"Feb 10, 2021"	"3,903.00"	"3,912.25"	"3,928.50"	"3,878.25"	1.56M	-0.06%	0%	 ? 50.25 	1.28%							
"Feb 09, 2021"	"3,905.50"	"3,910.50"	"3,913.25"	"3,895.00"	881.92K	-0.06%	0%	 ? 18.25 	0.47%							
"Feb 08, 2021"	"3,908.00"	"3,889.00"	"3,911.25"	"3,885.50"	972.44K	0.72%	1%	 ? 25.75 	0.66%							
"Feb 05, 2021"	"3,880.25"	"3,864.25"	"3,888.25"	"3,860.00"	1.14M	0.41%	0%	 ? 28.25 	0.73%							
"Feb 04, 2021"	"3,864.50"	"3,832.75"	"3,869.75"	"3,811.25"	1.14M	1.07%	1%	 ? 58.50 	1.53%							
"Feb 03, 2021"	"3,823.50"	"3,829.50"	"3,843.50"	"3,807.75"	1.29M	0.14%	0%	 ? 35.75 	0.93%							
"Feb 02, 2021"	"3,818.25"	"3,764.75"	"3,835.75"	"3,760.00"	1.42M	1.39%	1%	 ? 75.75 	2.01%							
"Feb 01, 2021"	"3,765.75"	"3,692.25"	"3,777.00"	"3,656.50"	1.69M	1.63%	2%	 ? 120.50 	3.26%							
"Jan 29, 2021"	"3,705.25"	"3,770.25"	"3,777.25"	"3,685.50"	2.69M	-1.96%	2%	 ? 91.75 	2.43%							
"Jan 28, 2021"	"3,779.25"	"3,735.25"	"3,823.50"	"3,703.50"	2.15M	0.93%	1%	 ? 120.00 	3.21%							
"Jan 27, 2021"	"3,744.25"	"3,845.25"	"3,853.00"	"3,706.50"	2.57M	-2.56%	3%	 ? 146.50 	3.81%							
"Jan 26, 2021"	"3,842.50"	"3,845.00"	"3,862.25"	"3,821.50"	1.17M	-0.16%	0%	 ? 40.75 	1.06%							
"Jan 25, 2021"	"3,848.50"	"3,835.50"	"3,853.25"	"3,788.50"	1.76M	0.37%	0%	 ? 64.75 	1.69%							
"Jan 22, 2021"	"3,834.25"	"3,846.75"	"3,849.00"	"3,813.25"	1.19M	-0.31%	0%	 ? 35.75 	0.93%							
"Jan 21, 2021"	"3,846.00"	"3,841.50"	"3,859.75"	"3,836.50"	1.07M	0.03%	0%	 ? 23.25 	0.61%							
"Jan 20, 2021"	"3,845.00"	"3,796.75"	"3,852.50"	"3,788.50"	1.25M	1.44%	1%	 ? 64.00 	1.69%							
"Jan 19, 2021"	"3,790.50"	"3,750.00"	"3,797.00"	"3,740.50"	1.32M	0.46%	0%	 ? 56.50 	1.51%							
"Jan 18, 2021"	"3,773.12"	"3,749.38"	"3,773.38"	"3,743.00"	-	0.62%	1%	 ? 30.38 	0.81%							
"Jan 17, 2021"	"3,750.00"	"3,745.38"	"3,759.88"	"3,745.38"	-	-0.33%	0%	 ? 14.50 	0.39%							
"Jan 15, 2021"	"3,762.25"	"3,793.00"	"3,797.75"	"3,741.50"	1.78M	-0.76%	1%	 ? 56.25 	1.48%							
"Jan 14, 2021"	"3,791.25"	"3,808.50"	"3,817.75"	"3,786.25"	1.17M	-0.33%	0%	 ? 31.50 	0.83%							
"Jan 13, 2021"	"3,803.75"	"3,792.00"	"3,813.50"	"3,776.50"	1.05M	0.24%	0%	 ? 37.00 	0.98%							
"Jan 12, 2021"	"3,794.50"	"3,794.25"	"3,806.75"	"3,768.00"	1.22M	0.07%	0%	 ? 38.75 	1.02%							
"Jan 11, 2021"	"3,792.00"	"3,815.50"	"3,820.75"	"3,776.50"	1.29M	-0.67%	1%	 ? 44.25 	1.16%							
"Jan 08, 2021"	"3,817.50"	"3,797.75"	"3,824.50"	"3,775.00"	1.62M	0.58%	1%	 ? 49.50 	1.30%							
"Jan 07, 2021"	"3,795.50"	"3,752.50"	"3,804.00"	"3,742.00"	1.30M	1.47%	1%	 ? 62.00 	1.65%							
"Jan 06, 2021"	"3,740.50"	"3,717.50"	"3,774.75"	"3,685.50"	2.13M	0.60%	1%	 ? 89.25 	2.40%							
"Jan 05, 2021"	"3,718.25"	"3,695.00"	"3,730.00"	"3,673.25"	1.41M	0.70%	1%	 ? 56.75 	1.54%							
"Jan 04, 2021"	"3,692.25"	"3,748.75"	"3,773.25"	"3,652.50"	2.04M	-1.51%	2%	 ? 120.75 	3.22%							
"Jan 01, 2021"	"3,748.75"	"3,748.75"	"3,748.75"	"3,748.75"	-	0.00%	0%	 ? -   	0.00%							
"Dec 31, 2020"	"3,748.75"	"3,725.00"	"3,753.00"	"3,715.00"	993.34K	0.66%	1%	 ? 38.00 	1.02%							
"Dec 30, 2020"	"3,724.25"	"3,724.50"	"3,738.25"	"3,716.50"	770.00K	0.11%	0%	 ? 21.75 	0.58%							
"Dec 29, 2020"	"3,720.00"	"3,731.00"	"3,747.75"	"3,714.50"	992.64K	-0.20%	0%	 ? 33.25 	0.89%							
"Dec 28, 2020"	"3,727.50"	"3,682.00"	"3,732.25"	"3,676.00"	760.65K	0.88%	1%	 ? 56.25 	1.53%							
"Dec 24, 2020"	"3,695.00"	"3,685.25"	"3,696.00"	"3,678.50"	369.65K	0.37%	0%	 ? 17.50 	0.47%							
"Dec 23, 2020"	"3,681.50"	"3,674.25"	"3,701.75"	"3,651.00"	1.02M	0.12%	0%	 ? 50.75 	1.38%							
"Dec 22, 2020"	"3,677.25"	"3,685.00"	"3,695.00"	"3,663.75"	1.10M	-0.23%	0%	 ? 31.25 	0.85%							
"Dec 21, 2020"	"3,685.75"	"3,718.25"	"3,724.00"	"3,596.00"	1.84M	-1.09%	1%	 ? 128.00 	3.44%							
"Dec 18, 2020"	"3,726.25"	"3,721.50"	"3,733.25"	"3,707.75"	31.89K	0.13%	0%	 ? 25.50 	0.69%							
"Dec 17, 2020"	"3,721.25"	"3,704.50"	"3,724.75"	"3,699.50"	292.92K	0.55%	1%	 ? 25.25 	0.68%							
"Dec 16, 2020"	"3,700.75"	"3,697.75"	"3,711.50"	"3,687.00"	584.71K	0.17%	0%	 ? 24.50 	0.66%							
"Dec 15, 2020"	"3,694.50"	"3,653.00"	"3,695.75"	"3,642.75"	1.03M	1.32%	1%	 ? 53.00 	1.45%							
"Dec 14, 2020"	"3,646.50"	"3,677.75"	"3,698.00"	"3,642.75"	1.49M	-0.40%	0%	 ? 55.25 	1.50%							
"Dec 11, 2020"	"3,661.25"	"3,670.00"	"3,674.75"	"3,628.25"	1.54M	-0.20%	0%	 ? 46.50 	1.27%							
"Dec 10, 2020"	"3,668.50"	"3,669.50"	"3,681.25"	"3,644.00"	1.60M	-0.11%	0%	 ? 37.25 	1.02%							
"Dec 09, 2020"	"3,672.50"	"3,707.75"	"3,714.75"	"3,659.50"	1.79M	-0.80%	1%	 ? 55.25 	1.49%							
"Dec 08, 2020"	"3,702.00"	"3,682.75"	"3,708.00"	"3,664.25"	1.12M	0.30%	0%	 ? 43.75 	1.19%							
"Dec 07, 2020"	"3,690.75"	"3,694.75"	"3,705.00"	"3,672.25"	1.08M	-0.20%	0%	 ? 32.75 	0.89%							
"Dec 04, 2020"	"3,698.00"	"3,668.25"	"3,700.00"	"3,665.50"	991.86K	0.91%	1%	 ? 34.50 	0.94%							
"Dec 03, 2020"	"3,664.50"	"3,671.00"	"3,682.00"	"3,655.25"	1.12M	-0.07%	0%	 ? 26.75 	0.73%							
"Dec 02, 2020"	"3,667.25"	"3,661.25"	"3,672.75"	"3,642.25"	1.11M	0.18%	0%	 ? 30.50 	0.83%							
"Dec 01, 2020"	"3,660.50"	"3,631.00"	"3,677.50"	"3,626.00"	1.37M	1.03%	1%	 ? 51.50 	1.42%							
"Nov 30, 2020"	"3,623.25"	"3,643.75"	"3,652.00"	"3,592.25"	1.71M	-0.36%	0%	 ? 59.75 	1.64%							
"Nov 27, 2020"	"3,636.50"	"3,630.25"	"3,642.75"	"3,612.75"	639.27K	0.43%	0%	 ? 30.00 	0.83%							
"Nov 26, 2020"	"3,620.75"	"3,631.62"	"3,638.62"	"3,614.12"	-	-0.18%	0%	 ? 24.50 	0.67%							
"Nov 25, 2020"	"3,627.25"	"3,635.50"	"3,655.00"	"3,615.25"	1.02M	-0.15%	0%	 ? 39.75 	1.09%							
"Nov 24, 2020"	"3,632.75"	"3,576.00"	"3,640.00"	"3,575.25"	1.29M	1.59%	2%	 ? 64.75 	1.81%							
"Nov 23, 2020"	"3,576.00"	"3,546.50"	"3,588.00"	"3,545.50"	1.20M	0.61%	1%	 ? 42.50 	1.20%							
"Nov 20, 2020"	"3,554.25"	"3,560.00"	"3,582.50"	"3,542.75"	1.19M	-0.72%	1%	 ? 39.75 	1.12%							
"Nov 19, 2020"	"3,580.00"	"3,562.00"	"3,582.75"	"3,542.25"	1.29M	0.42%	0%	 ? 40.50 	1.14%							
"Nov 18, 2020"	"3,565.00"	"3,604.50"	"3,623.25"	"3,556.50"	1.33M	-1.16%	1%	 ? 66.75 	1.85%							
"Nov 17, 2020"	"3,606.75"	"3,625.50"	"3,630.00"	"3,584.25"	1.27M	-0.45%	0%	 ? 45.75 	1.26%							
"Nov 16, 2020"	"3,623.00"	"3,587.00"	"3,637.00"	"3,586.50"	1.30M	1.14%	1%	 ? 50.50 	1.41%							
"Nov 13, 2020"	"3,582.00"	"3,537.50"	"3,590.00"	"3,518.00"	1.33M	1.40%	1%	 ? 72.00 	2.04%							
"Nov 12, 2020"	"3,532.50"	"3,574.50"	"3,574.50"	"3,513.00"	1.69M	-0.99%	1%	 ? 61.50 	1.72%							
"Nov 11, 2020"	"3,568.00"	"3,546.25"	"3,576.75"	"3,531.00"	1.32M	0.76%	1%	 ? 45.75 	1.29%							
"Nov 10, 2020"	"3,541.00"	"3,549.50"	"3,562.75"	"3,506.50"	2.16M	-0.08%	0%	 ? 56.25 	1.58%							
"Nov 09, 2020"	"3,544.00"	"3,522.50"	"3,668.00"	"3,515.75"	2.61M	1.24%	1%	 ? 152.25 	4.32%							
"Nov 06, 2020"	"3,500.75"	"3,508.75"	"3,519.00"	"3,456.75"	1.64M	-0.11%	0%	 ? 62.25 	1.77%							
"Nov 05, 2020"	"3,504.75"	"3,448.00"	"3,522.50"	"3,428.25"	1.67M	2.03%	2%	 ? 94.25 	2.73%							
"Nov 04, 2020"	"3,435.00"	"3,362.75"	"3,480.00"	"3,319.00"	2.81M	2.19%	2%	 ? 161.00 	4.79%							
"Nov 03, 2020"	"3,361.50"	"3,304.00"	"3,382.75"	"3,301.25"	1.66M	1.85%	2%	 ? 81.50 	2.47%							
"Nov 02, 2020"	"3,300.50"	"3,260.00"	"3,323.50"	"3,243.25"	1.85M	1.10%	1%	 ? 80.25 	2.46%							
"Oct 30, 2020"	"3,264.75"	"3,268.00"	"3,296.25"	"3,225.00"	2.49M	-1.14%	1%	 ? 71.25 	2.18%							
"Oct 29, 2020"	"3,302.25"	"3,279.00"	"3,333.75"	"3,250.25"	1.97M	1.19%	1%	 ? 83.50 	2.55%							
"Oct 28, 2020"	"3,263.50"	"3,369.00"	"3,370.25"	"3,260.75"	2.63M	-3.53%	4%	 ? 109.50 	3.25%							
"Oct 27, 2020"	"3,383.00"	"3,394.25"	"3,410.00"	"3,368.25"	1.57M	-0.31%	0%	 ? 41.75 	1.23%							
"Oct 26, 2020"	"3,393.50"	"3,445.75"	"3,446.25"	"3,356.00"	1.96M	-1.69%	2%	 ? 90.25 	2.62%							
"Oct 23, 2020"	"3,451.75"	"3,455.75"	"3,462.50"	"3,431.50"	1.22M	0.07%	0%	 ? 31.00 	0.90%							
"Oct 22, 2020"	"3,449.25"	"3,430.25"	"3,453.00"	"3,402.50"	1.50M	0.49%	0%	 ? 50.50 	1.47%							
"Oct 21, 2020"	"3,432.50"	"3,437.00"	"3,458.00"	"3,420.50"	1.68M	0.01%	0%	 ? 37.50 	1.09%							
"Oct 20, 2020"	"3,432.25"	"3,436.00"	"3,469.75"	"3,418.75"	1.70M	0.28%	0%	 ? 51.00 	1.48%							
"Oct 19, 2020"	"3,422.75"	"3,471.00"	"3,496.50"	"3,410.75"	1.65M	-1.14%	1%	 ? 85.75 	2.47%							
"Oct 16, 2020"	"3,462.25"	"3,478.50"	"3,508.50"	"3,461.25"	1.40M	-0.38%	0%	 ? 47.25 	1.36%							
"Oct 15, 2020"	"3,475.50"	"3,479.25"	"3,486.50"	"3,431.50"	1.65M	-0.16%	0%	 ? 55.00 	1.58%							
"Oct 14, 2020"	"3,481.00"	"3,502.00"	"3,524.00"	"3,472.00"	1.54M	-0.68%	1%	 ? 52.00 	1.48%							
"Oct 13, 2020"	"3,504.75"	"3,534.00"	"3,535.75"	"3,491.50"	1.62M	-0.79%	1%	 ? 44.25 	1.25%							
"Oct 12, 2020"	"3,532.75"	"3,467.50"	"3,541.00"	"3,464.25"	1.40M	1.71%	2%	 ? 76.75 	2.21%							
"Oct 09, 2020"	"3,473.25"	"3,447.25"	"3,480.00"	"3,445.25"	1.19M	1.04%	1%	 ? 34.75 	1.01%							
"Oct 08, 2020"	"3,437.50"	"3,406.25"	"3,447.25"	"3,405.50"	1.10M	0.90%	1%	 ? 41.75 	1.23%							
"Oct 07, 2020"	"3,406.75"	"3,338.00"	"3,416.75"	"3,332.25"	1.40M	1.60%	2%	 ? 84.50 	2.53%							
"Oct 06, 2020"	"3,353.25"	"3,392.00"	"3,421.75"	"3,330.50"	1.70M	-1.17%	1%	 ? 91.25 	2.69%							
"Oct 05, 2020"	"3,393.00"	"3,360.00"	"3,400.00"	"3,346.50"	1.08M	1.61%	2%	 ? 53.50 	1.59%							
"Oct 02, 2020"	"3,339.25"	"3,367.00"	"3,375.50"	"3,300.25"	2.03M	-0.85%	1%	 ? 75.25 	2.23%							
"Oct 01, 2020"	"3,367.75"	"3,344.75"	"3,388.00"	"3,343.25"	1.52M	0.47%	0%	 ? 44.75 	1.34%							
"Sep 30, 2020"	"3,352.00"	"3,330.00"	"3,384.00"	"3,291.25"	2.17M	0.55%	1%	 ? 92.75 	2.79%							
"Sep 29, 2020"	"3,333.75"	"3,348.75"	"3,363.00"	"3,316.50"	1.33M	-0.37%	0%	 ? 46.50 	1.39%							
"Sep 28, 2020"	"3,346.00"	"3,291.00"	"3,351.25"	"3,287.50"	1.50M	1.79%	2%	 ? 63.75 	1.94%							
"Sep 25, 2020"	"3,287.25"	"3,243.50"	"3,296.25"	"3,206.50"	1.70M	1.52%	2%	 ? 89.75 	2.77%							
"Sep 24, 2020"	"3,238.00"	"3,228.00"	"3,268.25"	"3,198.00"	2.28M	0.21%	0%	 ? 70.25 	2.18%							
"Sep 23, 2020"	"3,231.25"	"3,303.75"	"3,319.75"	"3,221.00"	1.98M	-2.06%	2%	 ? 98.75 	2.99%							
"Sep 22, 2020"	"3,299.25"	"3,271.50"	"3,309.50"	"3,256.50"	1.58M	0.74%	1%	 ? 53.00 	1.62%							
"Sep 21, 2020"	"3,275.00"	"3,314.50"	"3,326.25"	"3,217.75"	2.45M	-1.27%	1%	 ? 108.50 	3.27%							
"Sep 18, 2020"	"3,317.00"	"3,347.88"	"3,363.12"	"3,281.12"	-	-1.32%	1%	 ? 82.00 	2.45%							
"Sep 17, 2020"	"3,361.50"	"3,392.75"	"3,396.50"	"3,320.50"	384.92K	-0.83%	1%	 ? 76.00 	2.24%							
"Sep 16, 2020"	"3,389.50"	"3,405.00"	"3,429.75"	"3,384.00"	571.75K	-0.46%	0%	 ? 45.75 	1.34%							
"Sep 15, 2020"	"3,405.25"	"3,379.50"	"3,419.00"	"3,376.00"	874.37K	0.67%	1%	 ? 43.00 	1.27%							
"Sep 14, 2020"	"3,382.50"	"3,350.00"	"3,402.75"	"3,345.50"	1.38M	1.46%	1%	 ? 57.25 	1.71%							
"Sep 11, 2020"	"3,333.75"	"3,345.25"	"3,375.00"	"3,308.75"	1.88M	-0.20%	0%	 ? 66.25 	1.98%							
"Sep 10, 2020"	"3,340.50"	"3,396.00"	"3,424.25"	"3,327.25"	2.33M	-1.76%	2%	 ? 97.00 	2.86%							
"Sep 09, 2020"	"3,400.25"	"3,315.25"	"3,424.00"	"3,295.50"	2.01M	1.94%	2%	 ? 128.50 	3.88%							
"Sep 08, 2020"	"3,335.50"	"3,420.50"	"3,447.00"	"3,327.50"	2.73M	-3.03%	3%	 ? 119.50 	3.49%							
"Sep 07, 2020"	"3,439.88"	"3,406.00"	"3,443.38"	"3,392.25"	-	1.01%	1%	 ? 51.13 	1.50%							
"Sep 06, 2020"	"3,405.38"	"3,414.75"	"3,421.25"	"3,382.00"	-	-0.35%	0%	 ? 39.25 	1.15%							
"Sep 04, 2020"	"3,417.50"	"3,454.75"	"3,484.25"	"3,347.75"	2.99M	-1.27%	1%	 ? 136.50 	3.95%							
"Sep 03, 2020"	"3,461.50"	"3,578.75"	"3,586.50"	"3,424.50"	2.87M	-3.29%	3%	 ? 162.00 	4.53%							
"Sep 02, 2020"	"3,579.25"	"3,529.00"	"3,587.00"	"3,526.25"	1.85M	1.48%	1%	 ? 60.75 	1.72%							
"Sep 01, 2020"	"3,527.00"	"3,493.25"	"3,530.00"	"3,484.25"	1.28M	0.80%	1%	 ? 45.75 	1.31%							
